cassandra	12.3.11	https://charts.bitnami.com/bitnami	26
memcached	8.7.11	https://charts.bitnami.com/bitnami	26
valkey	0.12.0	https://valkey.io/valkey-helm/	26
keydb	0.48.0	https://enapter.github.io/charts/	26
vault-secrets-operator	1.5.1	https://helm.releases.hashicorp.com	25
discourse	17.0.1	https://charts.bitnami.com/bitnami	25
gatekeeper	3.24.0-beta.0	https://open-policy-agent.github.io/gatekeeper/charts	25
gitlab-agent	2.30.0	http://charts.gitlab.io/	25
linkerd-viz	30.12.11	https://helm.linkerd.io/stable	25
kyverno-policies	3.9.0	https://kyverno.github.io/kyverno/	24
redpanda	26.2.3	https://charts.redpanda.com	24
openldap-stack-ha	4.3.3	https://jp-gouin.github.io/helm-openldap/	24
snapshot-controller	5.2.0	https://piraeus.io/helm-charts/	24
crowdsec	0.24.0	https://crowdsecurity.github.io/helm-charts	24
rocketchat	7.0.2	https://rocketchat.github.io/helm-charts	24
zammad	18.0.4	https://zammad.github.io/zammad-helm	23
contour	21.1.4	https://charts.bitnami.com/bitnami	23
linkerd-control-plane	1.16.11	https://helm.linkerd.io/stable	23
mongodb-sharded	9.4.12	https://charts.bitnami.com/bitnami	23
victoria-metrics-cluster	0.49.0	https://victoriametrics.github.io/helm-charts/	23
confluence	2.0.14	https://atlassian.github.io/data-center-helm-charts	22
trust-manager	0.24.0	https://charts.jetstack.io	22
mailu	2.7.3	https://mailu.github.io/helm-charts/	22
influxdb2	2.1.2	https://helm.influxdata.com/	22
ceph-csi-cephfs	3.17.1	https://ceph.github.io/csi-charts	21
ceph-csi-rbd	3.17.1	https://ceph.github.io/csi-charts	21
solr-operator	0.9.1	https://solr.apache.org/charts	21
csi-driver-nfs	4.13.4	https://raw.githubusercontent.com/kubernetes-csi/csi-driver-nfs/master/charts	21
datahub	1.1.3	https://helm.datahubproject.io	21
linkerd-crds	1.8.0	https://helm.linkerd.io/stable	21
cost-analyzer	2.9.7	https://kubecost.github.io/cost-analyzer	21
mariadb-operator	26.6.0	https://helm.mariadb.com/mariadb-operator	21
podinfo	6.15.0	https://stefanprodan.github.io/podinfo	21
portainer	245.0.0	https://portainer.github.io/k8s/	21
camunda-platform	15.0.0-alpha4	https://helm.camunda.io	20
coder	2.37.0	https://helm.coder.com/v2	20
nxrm-ha	96.0.0	https://sonatype.github.io/helm3-charts/	20
chaos-mesh	2.8.4	https://charts.chaos-mesh.org	20
